,titulo,preco,p_l,n_acoes,patrimonio,p_vp,ebit,roe,roic,liquidez
0,AALR3,"18,25","42,88",118.293.000,1.287.910.000,"1,68","11,8%","3,9%","5,5%","1,07"
1,ABCB4,"18,34","8,62",218.359.000,3.956.290.000,"1,01",-,"11,7%",-,-
2,ABEV3,"17,45","24,87",15.733.600.000,65.751.800.000,"4,18","30,9%","16,8%","21,4%","1,33"
3,ACES3,"95,27","8,79",74.320.000,3.105.800.000,"2,28","23,5%","25,9%","26,9%","2,05"
4,ABCB3,"0,00","0,00",218.359.000,3.956.290.000,"0,00",-,"11,7%",-,-
5,AFLU3,"5,15","9,15",18.818.000,44.270.000,"2,19","35,0%","23,9%","31,2%","3,27"
6,AFLU5,"5,03","8,93",18.818.000,44.270.000,"2,14","35,0%","23,9%","31,2%","3,27"
7,ABYA3,"4,91","-214,80",104.906.000,292.060.000,"1,76","10,3%","-0,8%","2,8%","2,09"
8,AESL3,"10.081,90","18,16",1.125.430,3.803.300.000,"2,98","13,6%","16,4%","11,1%","1,23"
9,AFLT3,"12,91","25,49",63.085.000,216.847.000,"3,76","77,0%","14,7%","18,1%","22,45"
10,AESL4,"10.081,90","18,16",1.125.430,3.803.300.000,"2,98","13,6%","16,4%","11,1%","1,23"
11,AELP3,"1,93","8,49",93.947.000,-904.000,"-200,57","0,5%","-2.363,8%",-,-
12,ADHM3,"1,51","-1,83",7.563.000,-19.776.000,"-0,58","-13.548,5%","31,5%","521,7%","0,00"
13,AEDU11,"37,35","20,13",437.071.000,2.415.400.000,"1,13","10,1%","5,6%","5,8%","2,04"
14,AEDU3,"18,35","59,34",437.071.000,2.415.400.000,"3,32","10,1%","5,6%","5,8%","2,04"
15,MARI3,"2,93","3,04",184.503.000,706.711.000,"0,76","6,9%","25,1%","10,7%","2,23"
16,YDUQ3,"39,40","20,15",309.089.000,3.192.040.000,"3,82","22,6%","18,9%","17,1%","2,44"
17,WMBY3,"25,39","-19,30",24.000.000,212.439.000,"2,87","9,7%","-14,9%","2,4%","1,44"
18,WLMM3,"9,88","10,56",36.414.700,414.642.000,"0,87","3,2%","8,2%","7,3%","3,15"
19,WIZS3,"11,35","8,47",159.907.000,245.690.000,"7,39","56,4%","87,2%","65,1%","0,77"
20,WISA3,"0,20","-0,28",6.856.000,-205.386.000,"-0,01","-71,4%","2,4%","-9,8%","0,18"
21,WSON33,"36,00","20,46",71.220.000,2.018.430.000,"1,27","34,5%","6,2%","13,5%","1,25"
22,WHRL4,"7,00","6,48",1.502.790.000,2.846.050.000,"3,70","3,9%","57,0%","6,2%","1,04"
23,WLMM4,"10,99","11,74",36.414.700,414.642.000,"0,97","3,2%","8,2%","7,3%","3,15"
24,WISA4,"0,25","-0,35",6.856.000,-205.386.000,"-0,01","-71,4%","2,4%","-9,8%","0,18"
25,WEGE4,"16,10","23,31",2.098.660.000,8.327.980.000,"4,06","15,6%","17,4%","17,6%","2,13"
26,WEGE3,"29,26","42,37",2.098.660.000,8.327.980.000,"7,37","15,6%","17,4%","17,6%","2,13"
27,WHRL3,"6,86","6,35",1.502.790.000,2.846.050.000,"3,62","3,9%","57,0%","6,2%","1,04"
28,VVAX4,"0,00","0,00",110.398.000,144.676.000,"0,00","-7,4%","-92,0%","-6,5%","2,19"
29,VVAX3,"0,00","0,00",110.398.000,144.676.000,"0,00","-7,4%","-92,0%","-6,5%","2,19"
30,VVAR4,"4,84","-7,33",1.298.860.000,1.474.000.000,"4,26","4,5%","-58,2%","7,7%","0,73"
31,VULC4,"18,00","30,69",245.756.000,1.042.570.000,"4,24","10,5%","13,8%","11,3%","3,91"
32,VVAR3,"7,60","-11,51",1.298.860.000,1.474.000.000,"6,70","4,5%","-58,2%","7,7%","0,73"
33,VULC3,"7,86","13,40",245.756.000,1.042.570.000,"1,85","10,5%","13,8%","11,3%","3,91"
34,VTLM3,"0,79","-0,96",7.563.000,-19.776.000,"-0,30","-13.548,5%","31,5%","521,7%","0,00"
35,VVAR11,"14,58","-7,36",1.298.860.000,1.474.000.000,"4,28","4,5%","-58,2%","7,7%","0,73"
36,VPTA4,"10,50","-0,07",548.710.000,-867.658.000,"-0,01","-193,6%","10,1%","-45,0%","0,23"
37,VPTA3,"5,00","-0,03",548.710.000,-867.658.000,"-0,00","-193,6%","10,1%","-45,0%","0,23"
38,VPSC4,"9,99","-0,05",529.960.000,1.232.000,"4,30","-22,8%","-8.246,8%","-28,6%","0,43"
